Model version,Overall accuracy,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Shots,Notes,Source,Source link,id
ada,0.435,,OpenAI,United States of America,6.41e+20,"Table D.1
https://arxiv.org/abs/2005.14165",ada (350M),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,recfeLKZvBng82A20
,0.807,,,,,,Anthropic-LM v4-s3 (52B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,recREHiAS7YYjRck5
babbage,0.555,2020-06-22,OpenAI,United States of America,2.38e+21,"Table D.1
https://arxiv.org/abs/2005.14165",babbage (1.3B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,rec9GDlYjK3e9FkXR
Baichuan-2-7B-Base,0.68,2023-09-20,Baichuan,China,1.092e+23,"7b * 2.6t * 6 = 1.092e23
Also mentions 1,024 NVIDIA A800 GPUs at 180 TFLOPS per GPU",Baichuan2 7B,0,,Qwen Technical Report,http://arxiv.org/abs/2309.16609,rec6q2wSPdc9L6x40
Baichuan-2-13B-Base,0.708,2023-09-06,Baichuan,China,2.03e+23,"They describe the dataset as having 2.6T tokens, but the checkpoint graph makes it clear that's also the number of tokens the model was trained on.

13b * 2.6t * 6 = 2.03e23",Baichuan2 13B,0,,Qwen Technical Report,http://arxiv.org/abs/2309.16609,recKMHyLo7iHhIm9m
bloom,0.744,2022-07-06,"Hugging Face,BigScience","United States of America,France",3.65664e+23,"https://bigscience.huggingface.co/blog/bloom Blog post says 117 days.

384 A100 GPUs * 314 TFLOPS throughput per GPU * 117 days * 0.3 (utilization assumption) = 3.65664e23
https://www.wolframalpha.com/input?i=384+*+314+TFLOPS+*+117+days+*+0.3",BLOOM (176B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,recQSVqDaut5Qbuj2
Cerebras-GPT-13B,0.594,2023-03-20,Cerebras Systems,United States of America,2.3e+22,"2.3e22, per table 2",Cerebras-GPT-13B,0,,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,rec2aapgpGAXpxWQ6
chatglm2-6b,0.57,2023-06-24,,,,,ChatGLM2,0,,Qwen Technical Report,http://arxiv.org/abs/2309.16609,recGt5AcRHqUhevHc
,0.752,,,,,,Cohere Command beta (6.1B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,rechxO8XYnPKqrhSQ
,0.811,,,,,,Cohere Command beta (52.4B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,recwaK0tFnDh9Tqzy
,0.736,,,,,,Cohere large v20220720 (13.1B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,reccslyJuclpjphLN
,0.706,,,,,,Cohere medium v20220720 (6.1B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,recDDdululYn98qLK
,0.726,,,,,,Cohere medium v20221108 (6.1B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,rec0XBvVEvE3wM4iL
,0.483,,,,,,Cohere small v20220720 (410M),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,recpkpM7Bs6dFms3C
,0.811,,,,,,Cohere xlarge v20220609 (52.4B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,recjgw0ZOlh0jtyMY
,0.81,,,,,,Cohere xlarge v20221108 (52.4B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,recVxIk0J15SihM0z
curie,0.682,,OpenAI,United States of America,1.2e+22,"Table D.1
https://arxiv.org/abs/2005.14165",curie (6.7B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,recKp5z9jwr9Zh0Ts
davinci,0.775,,OpenAI,United States of America,3.14e+23,"Table D.1
https://arxiv.org/abs/2005.14165",davinci (175B),0,,Stanford HELM,https://crfm.stanford.edu/helm/classic/latest/#/groups/hellaswag,recbOlkritQTwwoUh
DeepSeek-V2,0.871,2024-05-07,DeepSeek,China,1.02e+24,21b active params * 8.1 trillion * 6 = 1.02e24,DeepSeek-V2 Base,10,,DeepSeek-V3 Technical Report,https://arxiv.org/pdf/2412.19437,recIDwVCV7xiAPtWR
