Model version,Average progress,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Average Standard error,BabyAI progress,BabyAI Standard error,Crafter progress,Crafter Standard error,TextWorld progress,TextWorld Standard error,BabaIsAI progress,BabaIsAI Standard error,MiniHack progress,MiniHack Standard error,NetHack progress,NetHack Standard error,Date added,Trajectories,Source,Source link,Notes,id
gemini-3-pro-preview,0.5810000000000001,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,0.021,0.96,0.027999999999999997,0.573,0.044000000000000004,0.6020000000000001,0.075,0.883,0.028999999999999998,0.4,0.077,0.068,0.032,2026-02-03,,https://balrogai.com/,https://balrogai.com/,https://balrogai.com/,recu64HG3CcO8EhbZ
gemini-3.1-pro-preview,0.57,2026-02-19,Google DeepMind,United States of America,,,0.02,0.98,0.02,0.55,0.064,0.757,0.064,0.833,0.034,0.275,0.071,0.026,,2026-02-25,,Balrog Leaderboard,https://balrogai.com/,https://balrogai.com/,recagT5kg4LOzfJRU
gemini-3.1-pro-preview,0.569,2026-02-19,Google DeepMind,United States of America,,,0.02,1.0,0.0,0.468,0.042,0.665,0.075,0.9,0.027,0.35,0.075,0.03,,2026-02-21,,Balrog Leaderboard,https://balrogai.com/,https://balrogai.com/,recrPB4QFDwqkL1vd
gemini-3-flash-preview,0.48100000000000004,2025-12-17,Google DeepMind,United States of America,,,0.024,0.86,0.049,0.45,0.063,0.502,0.081,0.733,0.04,0.3,0.07200000000000001,0.04,0.008,2026-02-13,,https://balrogai.com/,https://balrogai.com/,,recoMyTSHduCvqkGN
grok-4-0709,0.436,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",0.022000000000000002,0.76,0.06,0.573,0.039,0.629,0.079,0.45799999999999996,0.045,0.17500000000000002,0.06,0.018000000000000002,0.008,2025-07-23,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20250713_naive_grok-4,https://balrogai.com/,https://balrogai.com/,,recj1cynwUw30DZ24
claude-opus-4-5-20251101,0.435,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.023,0.8,0.057,0.495,0.031,0.514,0.084,0.508,0.046,0.275,0.071,0.02,,2026-02-24,,Balrog Leaderboard,https://balrogai.com/,https://balrogai.com/,rechOsDF5zTo7ToVP
gemini-2.5-pro-exp-03-25,0.433,2025-03-25,Google DeepMind,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.023,0.8,0.057,0.55,0.06,0.49200000000000005,0.08199999999999999,0.5670000000000001,0.045,0.17500000000000002,0.06,0.017,0.002,2025-04-25,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20250425_naive_Gemini-2.5-Pro-Exp-03-25,https://balrogai.com/,https://balrogai.com/,,recSOJ5L6wiyC21mt
claude-opus-4-5-20251101_64K,0.43,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.023,0.72,0.063,0.486,0.032,0.59,0.08,0.458,0.045,0.3,0.072,0.024,,2026-02-24,,Balrog Leaderboard,https://balrogai.com/,https://balrogai.com/,recHOhXq4T9nx6ffH
claude-opus-4-5-20251101_unknown,0.43,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.023,0.72,0.063,0.48600000000000004,0.032,0.59,0.08,0.45799999999999996,0.045,0.3,0.07200000000000001,0.024,0.003,2026-02-24,,https://balrogai.com/,https://balrogai.com/,,recu7vRmCRnKAPbOn
DeepSeek-R1,0.349,2025-01-20,DeepSeek,China,3.5e+24,"3.29e24 + 1.8e23 = 3.47e24, round to 3.5e24 due to lack of sigfigs",0.021,0.74,0.062000000000000006,0.364,0.038,0.218,0.061,0.508,0.046,0.25,0.068,0.013999999999999999,0.005,2025-04-10,,https://balrogai.com/,https://balrogai.com/,,recHSLh1tcRzi8OcW
gemini-2.5-flash,0.335,2025-06-17,Google DeepMind,United States of America,,,0.022000000000000002,0.68,0.066,0.4,0.048,0.29600000000000004,0.07200000000000001,0.5,0.046,0.125,0.052000000000000005,0.008,0.004,2025-07-22,,https://balrogai.com/,https://balrogai.com/,,recUkPodDLc0rmUT6
gpt-5-2025-08-07_minimal,0.32799999999999996,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.022000000000000002,0.8,0.057,0.391,0.040999999999999995,0.306,0.07,0.258,0.04,0.2,0.073,0.013000000000000001,0.005,2025-08-19,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20250808_naive_gpt-5-minimal,https://balrogai.com/,https://balrogai.com/,,recWQdFmqwZIHfPD9
claude-3-5-sonnet-20241022,0.326,2024-10-22,Anthropic,United States of America,,,0.019,0.68,0.066,0.327,0.032,0.42100000000000004,0.054000000000000006,0.375,0.044000000000000004,0.15,0.055999999999999994,0.006,0.005,2024-11-11,https://github.com/balrog-ai/experiments/tree/main/submissions/LLM/20241103_Claude-3.5-Sonnet,https://balrogai.com/,https://balrogai.com/,,recLWfLdjfhmgI3Ap
gpt-4o-2024-05-13,0.32299999999999995,2024-05-13,OpenAI,United States of America,,Training compute estimated to be 3.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,0.015,0.7759999999999999,0.037000000000000005,0.331,0.023,0.39299999999999996,0.052000000000000005,0.337,0.033,0.1,0.047,0.004,0.004,2024-11-11,,https://balrogai.com/,https://balrogai.com/,"No trajectory available as of March 31, 2025. ",recGsilOFpcHF89qF
claude-haiku-4-5-20251001,0.312,2025-10-15,Anthropic,United States of America,,,0.021,0.66,0.067,0.241,0.032,0.49,0.076,0.333,0.043,0.15,0.056,0.0,,2026-02-24,,Balrog Leaderboard,https://balrogai.com/,https://balrogai.com/,recOx8y3hn2Y1Jbml
claude-haiku-4-5-20251001_1K,0.312,2025-10-15,Anthropic,United States of America,,,0.021,0.66,0.067,0.24100000000000002,0.032,0.49,0.076,0.33299999999999996,0.043,0.15,0.055999999999999994,0.0,0.0,2026-02-24,,https://balrogai.com/,https://balrogai.com/,,recFZEHGMrDgjjNjD
