Model version,EM,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Shots,Source,Source link,Notes,id
amazon.nova-lite-v1:0,0.77,2024-12-03,Amazon,United States of America,,,Amazon Nova Lite,5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,reccNX56mRCIhx9ok
amazon.nova-micro-v1:0,0.708,2024-12-03,Amazon,United States of America,,,Amazon Nova Micro,5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recMu6jniW4Q1aHhj
amazon.nova-pro-v1:0,0.82,2024-12-03,Amazon,United States of America,6.000010000000001e+24,"""probably just below 1e25 stemming from the Llama 70B serving speed.  If Llama 70B is trained proportionally to 405B, then it's at ~ 6.6e24. Nova Pro is served at 100tk/s, while Llama 70B is served at 70tk/s on average, and 100tk/s by together.ai at FP8. So Nova Pro would be >1e25 if they roughly 2x the amount of training compared to Llama 70B which [seems unlikely]""",Amazon Nova Pro,5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recIRlQ5EAWn5dxqD
,0.652,,,,,,AquilaChat2 34B,0,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,recyryG18K2x30duJ
,0.667,,,,,,AquilaChat2 34B,5,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,rechbRaRakeh7m35k
,0.677,,,,,,Arctic Instruct,5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,receF4qeBwFbaGr6r
Baichuan-7B,0.423,2023-06-01,Baichuan,China,5.04e+22,7b parameters * 1.2t tokens * 6 FLOP / parameter / token = 5.04e22 FLOP,Baichuan 1-7B,5,Baichuan 2: Open Large-scale Language Models,http://arxiv.org/abs/2309.10305,,rechuNXbQCiXvI5bb
Baichuan-13B-Base,0.516,2023-07-11,Baichuan,China,9.36e+22,13b parameters * 1.2t tokens * 6 FLOP / parameter / token = 9.36e22 FLOP,Baichuan 1-13B-Base,5,Baichuan 2: Open Large-scale Language Models,http://arxiv.org/abs/2309.10305,,recCxbVxrA9fWanQp
Baichuan-2-7B-Base,0.5416,2023-09-20,Baichuan,China,1.092e+23,"7b * 2.6t * 6 = 1.092e23
Also mentions 1,024 NVIDIA A800 GPUs at 180 TFLOPS per GPU",Baichuan 2-7B-Base,5,Baichuan 2: Open Large-scale Language Models,http://arxiv.org/abs/2309.10305,,recL0KmTLb9YnVqAX
Baichuan-2-13B-Base,0.5917,2023-09-06,Baichuan,China,2.03e+23,"They describe the dataset as having 2.6T tokens, but the checkpoint graph makes it clear that's also the number of tokens the model was trained on.

13b * 2.6t * 6 = 2.03e23",Baichuan 2-13B-Base,5,Baichuan 2: Open Large-scale Language Models,http://arxiv.org/abs/2309.10305,,rec2lAAR2TzfQNZIn
