Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
claude-fable-5-1_max,0.9017543859649123,0.9017543859649123,2026-09-01,Anthropic,United States of America,,,0.017662067789031757,,,2026-09-01T18:38:24.000Z,g7dXwZH2tWvqLg3X5idGs2
gemini-3.1-flash-lite_low,0.22456140350877193,0.22456140350877193,2026-03-03,Google,United States of America,,,0.024761793289496806,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FVcuyQvF8LWuYhQCx2FGDHh.eval,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/VcuyQvF8LWuYhQCx2FGDHh.eval,2026-08-30T22:35:03.000Z,VcuyQvF8LWuYhQCx2FGDHh
gemini-3.1-flash-lite_high,0.2771929824561403,0.2771929824561403,2026-03-03,Google,United States of America,,,0.026560920735701255,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FMVZf59jt9uEoWG9w5W9apB.eval,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/MVZf59jt9uEoWG9w5W9apB.eval,2026-08-30T22:34:53.000Z,MVZf59jt9uEoWG9w5W9apB
qwen3.6-35b-a3b_none,0.20350877192982456,0.20350877192982456,2026-04-14,Alibaba,China,,,0.02389037106974561,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FYRvn36dmMyDbS5e4XkF4Xi.eval,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/YRvn36dmMyDbS5e4XkF4Xi.eval,2026-08-30T22:34:37.000Z,YRvn36dmMyDbS5e4XkF4Xi
qwen3.6-plus,0.3824561403508772,0.3824561403508772,2026-03-31,Alibaba,China,,,0.028838027580159496,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FjbyVWnEvvFVNNc8AEF6WcQ.eval,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/jbyVWnEvvFVNNc8AEF6WcQ.eval,2026-08-30T22:34:20.000Z,jbyVWnEvvFVNNc8AEF6WcQ
qwen3.5-397b-a17b_none,0.312280701754386,0.312280701754386,2026-02-13,Alibaba,China,,,0.027499133473298815,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FA4yUA9PfzRr92JAqDDo9ro.eval,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/A4yUA9PfzRr92JAqDDo9ro.eval,2026-08-30T22:34:18.000Z,A4yUA9PfzRr92JAqDDo9ro
qwen3-max-2025-09-23,0.18947368421052632,0.18947368421052632,2025-09-24,Alibaba,China,1.512e+25,"6ND with:
36T tokens is taken from the qwen3 technical report
70B active params is based on it having >1T params, and the architectures of Qwen3-235B-A22B and Qwen3-Coder-480B-A35B",0.023254062737737245,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FNrTH3EYHjp4hPdxgpCPGTX.eval,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/NrTH3EYHjp4hPdxgpCPGTX.eval,2026-08-30T22:34:08.000Z,NrTH3EYHjp4hPdxgpCPGTX
gpt-6-astra_max,0.9368421052631579,0.9368421052631579,2026-09-03,OpenAI,United States of America,,,0.014434038295343787,,,2026-08-30T14:57:43.000Z,csK2fe5T8p2R7WgoJUu6bZ
glm-5.2_none,0.4245614035087719,0.4245614035087719,2026-06-16,Z.ai (Zhipu AI),China,,,0.029329899789943815,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FECdG3m8n5ABfWVZ55rPFmT.eval,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/ECdG3m8n5ABfWVZ55rPFmT.eval,2026-08-29T11:07:59.000Z,ECdG3m8n5ABfWVZ55rPFmT
qwen3.7-flash_none,0.19298245614035087,0.19298245614035087,2026-07-27,Alibaba,China,,,0.02341753795065531,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FdoNrgGQY5SytQV22WRqw5L.eval,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/doNrgGQY5SytQV22WRqw5L.eval,2026-08-29T11:07:51.000Z,doNrgGQY5SytQV22WRqw5L
