Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Shots,Notes,Source,Source link,id
mpt-7b,0.75,2023-05-05,MosaicML,United States of America,4.2000000000000004e+22,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k.""",,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,recHVOcpl5EdpYNHo
falcon-7b,0.675,2023-04-24,Technology Innovation Institute,United Arab Emirates,6.3e+22,"6ND = 6 * 7B * 1.5T = 6.3e22
""Falcon-7B is a 7B parameters causal decoder-only model built by TII and trained on 1,500B tokens of RefinedWeb enhanced with curated corpora. It is made available under the Apache 2.0 license.""

Table 1 from https://arxiv.org/pdf/2311.16867 Falcon paper

730 petaflop-days * 1e15 * 24 * 3600 = 6.3072e+22 FLOPs",,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,recZ0BDsmFyBaGQ3q
chatglm2-6b,0.79,2023-06-24,,,,,ChatGLM2,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,rect9TCmUKTJmVpeh
internlm-7b,0.641,2023-07-05,,,,,,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,recHXC9HRaDYhPd1W
internlm-20b,0.875,2023-09-18,,,,,,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,reczVJsR2mliD98Nl
,0.642,,,,,,XVerse,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,recs3JGd4KHA3XC6w
Baichuan-2-7B-Base,0.632,2023-09-20,Baichuan,China,1.092e+23,"7b * 2.6t * 6 = 1.092e23
Also mentions 1,024 NVIDIA A800 GPUs at 180 TFLOPS per GPU",,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,recXyZbdJhwQiIzZO
Baichuan-2-13B-Base,0.67,2023-09-06,Baichuan,China,2.03e+23,"They describe the dataset as having 2.6T tokens, but the checkpoint graph makes it clear that's also the number of tokens the model was trained on.

13b * 2.6t * 6 = 2.03e23",,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,recyIRzjbpg4lwyF3
LLaMA-7B,0.765,2023-02-24,Meta AI,United States of America,4.00000001e+22,"1T tokens * 6.7B parameters * 6 FLOP/token/parameter = 4e22 FLOP
",,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,recpwKBXvQCelNvqc
LLaMA-13B,0.787,2023-02-24,Meta AI,United States of America,7.8e+22,"1T tokens * 13B parameters * 6 FLOP/token/parameter = 7.8e22

from paper, Llama-13B took 135,168 GPU hours using A100s

312 trillion * 135,168 * 3600 = 1.518e23 FLOPs at full utilization
This implies that the actual utilization was:
MFU = 7.8e22/1.518e23 = 0.514",,,,Qwen Technical Report,https://arxiv.org/abs/2309.16609,recE0zMVHow2T8FrJ
