Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
claude-fable-5-1_max,0.708,0.708,2026-09-01,Anthropic,United States of America,,,0.014385511563477433,,,2026-09-01T18:31:59.000Z,ExyL3GN8s34tizrXV3VmS3
gpt-4o-mini-2024-07-18,0.083,0.083,2024-07-18,OpenAI,United States of America,,"Training compute estimated to be 7.36001e+24 from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing

90% CI [3.23e+24, 2.05e+25]",0.008728527206074758,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FDLr586bZUHpghAf8m3GRSm.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/DLr586bZUHpghAf8m3GRSm.eval,2026-08-31T22:02:07.000Z,DLr586bZUHpghAf8m3GRSm
gpt-4o-2024-08-06,0.26,0.26,2024-08-06,OpenAI,United States of America,,Training compute estimated to be 3.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,0.01387777332977422,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FbDFqfWxMG7gLDq4Mz8PRTP.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/bDFqfWxMG7gLDq4Mz8PRTP.eval,2026-08-31T22:02:02.000Z,bDFqfWxMG7gLDq4Mz8PRTP
gpt-4.1-nano-2025-04-14,0.06,0.06,2025-04-14,OpenAI,United States of America,,,0.007513751157474971,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FA4JEeJR5LQfLR3Hb8z7kL2.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/A4JEeJR5LQfLR3Hb8z7kL2.eval,2026-08-31T22:01:58.000Z,A4JEeJR5LQfLR3Hb8z7kL2
gpt-4.1-mini-2025-04-14,0.127,0.127,2025-04-14,OpenAI,United States of America,,,0.010534798620855644,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FgYV4CJTjSd7VonfzMmnwcw.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/gYV4CJTjSd7VonfzMmnwcw.eval,2026-08-31T22:01:51.000Z,gYV4CJTjSd7VonfzMmnwcw
gpt-4.1-2025-04-14,0.311,0.311,2025-04-14,OpenAI,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,0.014645596385722692,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FavdYKfKUuY6EvfVdxftBE8.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/avdYKfKUuY6EvfVdxftBE8.eval,2026-08-31T22:01:48.000Z,avdYKfKUuY6EvfVdxftBE8
o3-mini-2025-01-31_high,0.153,0.153,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",0.011389500459665504,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FUCba4H3NNtUiWXMisWnh9g.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/UCba4H3NNtUiWXMisWnh9g.eval,2026-08-31T22:01:45.000Z,UCba4H3NNtUiWXMisWnh9g
o1-2024-12-17_high,0.411,0.411,2024-12-17,OpenAI,United States of America,,,0.01556667341859915,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FLQfu4ngArcgMEyQZxuR7r4.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/LQfu4ngArcgMEyQZxuR7r4.eval,2026-08-31T22:01:34.000Z,LQfu4ngArcgMEyQZxuR7r4
muse-spark-1.1,0.5778894472361809,0.5778894472361809,2026-07-09,Meta AI,United States of America,,,0.015665429072238852,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FbCdwpRXgZtvQLYC4wA9JXr.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/bCdwpRXgZtvQLYC4wA9JXr.eval,2026-08-31T19:21:58.000Z,bCdwpRXgZtvQLYC4wA9JXr
claude-3-opus-20240229,0.126,0.126,2024-02-29,Anthropic,United States of America,,Training compute estimated to be 1.64e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,0.010499249222407964,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FNxVp4VF8uQbL5S6hx6HFRB.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/NxVp4VF8uQbL5S6hx6HFRB.eval,2026-08-31T18:18:52.000Z,NxVp4VF8uQbL5S6hx6HFRB
