Model version,Binary accuracy,Partial score,Reasoning,Tool setting,Step budget,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Model family,Estimated cost (USD),Source,Notes
gpt-6-astra,,0.726,frontier,official OpenAI evaluation,,2026-09-03,OpenAI,United States of America,,,GPT-6 Astra,OpenAI,,https://openai.com/index/gpt-6-astra/,OSWorld 2.0 v2026.08.08 offline set; partial score; reported by OpenAI.
claude-opus-4-8_max,0.20600000000000002,0.5479999999999999,max,batched tool,500,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (max),Claude,,https://osworld-v2.xlang.ai/,
claude-opus-4-8_max,0.1852,0.4933,max,standard,500,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 (max),Claude,,https://osworld-v2.xlang.ai/,
claude-opus-4-7_max,0.182,0.4891,max,batched tool,500,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7 (max),Claude,,https://osworld-v2.xlang.ai/,
claude-opus-4-7_max,0.139,0.49100000000000005,max,standard,500,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7 (max),Claude,3870.0,https://osworld-v2.xlang.ai/,
claude-sonnet-4-6_medium,0.09300000000000001,0.33899999999999997,medium,standard,500,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6 (medium),Claude,1550.0,https://osworld-v2.xlang.ai/,
claude-sonnet-4-6_max,0.083,0.41500000000000004,max,standard,500,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6 (max),Claude,2410.0,https://osworld-v2.xlang.ai/,
gpt-5.5_xhigh,0.13,0.495,xhigh,batch tool,500,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (xhigh),GPT,2750.0,https://osworld-v2.xlang.ai/,
MiniMax-M3,0.046,0.223,enabled,standard,500,2026-06-01,MiniMax,China,,,MiniMax M3 (enabled),MiniMax,258.78,https://osworld-v2.xlang.ai/,
kimi-k2.6,0.046,0.22100000000000003,enabled,standard,500,2026-04-20,Moonshot,China,,,Kimi 2.6 (enabled),Kimi,708.0,https://osworld-v2.xlang.ai/,
qwen3.7-plus,0.027999999999999997,0.215,thinking,standard,500,2026-06-02,Alibaba,China,,,Qwen 3.7-Plus (thinking),Qwen,411.56,https://osworld-v2.xlang.ai/,
claude-opus-5_low,0.2232,0.5489,low,batch tool,500,2026-07-24,Anthropic,United States of America,,,Claude Opus 5 (low),Claude,,https://osworld-v2.xlang.ai/,
claude-opus-5_medium,0.25329999999999997,0.6049,medium,batch tool,500,2026-07-24,Anthropic,United States of America,,,Claude Opus 5 (medium),Claude,,https://osworld-v2.xlang.ai/,
claude-opus-5_high,0.2898,0.6379,high,batch tool,500,2026-07-24,Anthropic,United States of America,,,Claude Opus 5 (high),Claude,,https://osworld-v2.xlang.ai/,
claude-opus-5_xhigh,0.30210000000000004,0.6767000000000001,xhigh,batch tool,500,2026-07-24,Anthropic,United States of America,,,Claude Opus 5 (xhigh),Claude,,https://osworld-v2.xlang.ai/,
claude-opus-5_max,0.3143,0.6831,max,batch tool,500,2026-07-24,Anthropic,United States of America,,,Claude Opus 5 (max),Claude,,https://osworld-v2.xlang.ai/,
gpt-5.6-sol_max,0.27340000000000003,0.6272,max,batch tool,500,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (max),GPT,,https://osworld-v2.xlang.ai/,
