Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Cost per task,Source,Source link,Notes,id
claude-fable-5_xhigh,0.985,2026-06-09,Anthropic,United States of America,,,Claude Fable 5 (XHigh),,https://arcprize.org/leaderboard,,,recRjJaF7m8Y15119
claude-fable-5_max,0.985,2026-06-09,Anthropic,United States of America,,,Claude Fable 5 (Max),,https://arcprize.org/leaderboard,,,recr0Gvn97QjInOIz
gemini-3.1-pro-preview,0.98,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro (Preview),0.5223,ARC Prize Leaderboard,https://arcprize.org/leaderboard,,recVzc3uOYbFmIWtV
gpt-5.6-sol_xhigh,0.975,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (xHigh),0.4,https://arcprize.org/leaderboard,,,recrNPlnXllOt0Hvg
claude-opus-5_max,0.975,2026-07-24,Anthropic,United States of America,,,Claude Opus 5 (High),,https://arcprize.org/leaderboard,,,recSq1VCkt6IwLBGs
claude-opus-5_high,0.975,2026-07-24,Anthropic,United States of America,,,Claude Opus 5 (High),,https://arcprize.org/leaderboard,,,recyQEeaf1aLYbe8E
claude-opus-5_max,0.975,2026-07-24,Anthropic,United States of America,,,Claude Opus 5 (Max),,https://arcprize.org/leaderboard,,,rechlxvtvt0jfACe1
gpt-5.6-sol_xhigh,0.975,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (XHigh),,https://arcprize.org/leaderboard,,,recP0shtwkpwoQk7S
claude-fable-5-1_max,0.975,2026-09-01,Anthropic,United States of America,,,Claude Fable 5.1 (Max),,https://arcprize.org/leaderboard,,,recvaiu98Swpidp4x
gpt-5.6-sol_high,0.97,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (High),0.3,https://arcprize.org/leaderboard,,,recCdwY3IG6HNCGGJ
gpt-5.5-pro_high,0.965,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Pro (High),4.53,https://arcprize.org/leaderboard,,,recl8K2yYdGuM18Vy
gpt-5.6-sol_max,0.965,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (Max),0.54,https://arcprize.org/leaderboard,,,recQ2TSIxubhoK4nZ
gpt-5.6-terra_max,0.965,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (Max),0.55,https://arcprize.org/leaderboard,,,recabQE8jIZy7XTnk
claude-fable-5-1_xhigh,0.965,2026-09-01,Anthropic,United States of America,,,Claude Fable 5.1 (XHigh),,https://arcprize.org/leaderboard,,,rece2Ph5U0ubgtxBs
,0.96,,,,,,Gemini 3 Deep Think (2/26),13.62,,,,recTh8A2nzouwtoS4
gemini-3-deep-think-preview,0.96,2026-02-12,,,,,Gemini 3 Deep Think (2/26),,https://arcprize.org/leaderboard,,,recB6y5fhltz222iF
claude-fable-5-1_high,0.96,2026-09-01,Anthropic,United States of America,,,Claude Fable 5.1 (High),,https://arcprize.org/leaderboard,,,rec6sj6eIQNzR0HJq
claude-fable-5_high,0.9550000000000001,2026-06-09,Anthropic,United States of America,,,Claude Fable 5 (High),,https://arcprize.org/leaderboard,,,recgy0nKpQ48MWzVu
gemini-3.7-flash_high,0.9550000000000001,2026-08-13,Google DeepMind,United States of America,,,Gemini 3.7 Flash (High),,https://arcprize.org/leaderboard,,,recsY80edOvxj4oOR
gpt-5.5_xhigh,0.9500000000000001,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (xHigh),0.73,https://arcprize.org/leaderboard,,,recAosypqreZ8jmIT
gpt-5.5-pro_xhigh,0.9500000000000001,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Pro (xHigh),4.52,https://arcprize.org/leaderboard,,,recrLBN8ncVRXcY2G
gpt-5.5-pro_xhigh,0.9500000000000001,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Pro (XHigh),,https://arcprize.org/leaderboard,,,rec9O8ndiJV4IzmHu
gpt-5.5_xhigh,0.9500000000000001,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (XHigh),,https://arcprize.org/leaderboard,,,recqSzsMcRfH9WyxG
gpt-5.4-pro-2026-03-05_xhigh,0.9450000000000001,2026-03-05,OpenAI,United States of America,,,GPT-5.4 Pro (xHigh),7.21,,,,recoac8q5cQOYtiEr
gpt-5.5_high,0.9450000000000001,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (High),0.56,https://arcprize.org/leaderboard,,,rechGGHK5NkpuRbvZ
