Model version,Unguided % Solved,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Subtask-Guided % Solved,Subtasks % Solved,Unguided most difficult task solved (minutes),Subtask-Guided most difficult task solved (minutes),Notes,Source,Source link,id
claude-opus-4-6_unknown,0.93,2026-02-05,Anthropic,United States of America,,,,,,,"Results from Opus 4.6 system card, also reported on the official Cybench leaderboard. The card states that Opus 4.6 gets ~100% for pass@30.",Opus 4.6 System Card,https://www-cdn.anthropic.com/0dd865075ad3132672ee0ab40b05a53f14cf5288.pdf,recWoHNahp8uxAsGZ
claude-opus-4-5-20251101_unknown,0.82,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,,,,,"Results from Opus 4.5 system card, also reported on the official Cybench leaderboard",Opus 4.5 System Card,https://assets.anthropic.com/m/64823ba7485345a7/Claude-Opus-4-5-System-Card.pdf,recJjYw1K1NV8Z47n
claude-sonnet-4-5-20250929_unknown,0.6,2025-09-29,Anthropic,United States of America,,,,,,,"Results from Opus 4.5 system card, also reported on the official Cybench leaderboard",Opus 4.5 System Card,https://assets.anthropic.com/m/64823ba7485345a7/Claude-Opus-4-5-System-Card.pdf,recbFGPB81lSzLlEv
claude-sonnet-4-5-20250929,0.55,2025-09-29,Anthropic,United States of America,,,,,,,"Thinking level unknown. ""Results for Claude 4.5 Sonnet, Claude 4.1 Opus, Claude 4 Opus, and Claude 4 Sonnet are from the Claude 4.5 Sonnet System Card on a subset of 37 problems. Percentages are estimates based on probability of success on 1 trial.""",Cybench leaderboard,https://cybench.github.io/,recpAkk0ysXYhjhJu
grok-4-0709,0.43,2025-07-09,xAI,United States of America,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",,,,,Results from Grok 4 model card. Also reported on official Cybench leaderboard.,Grok 4 Model Card,https://data.x.ai/2025-08-20-grok-4-model-card.pdf,rec77oHCMurVWgzvd
claude-opus-4-1-20250805,0.42,2025-08-05,Anthropic,United States of America,,,,,,,"Thinking level unknown. ""Results for Claude 4.5 Sonnet, Claude 4.1 Opus, Claude 4 Opus, and Claude 4 Sonnet are from the Claude 4.5 Sonnet System Card on a subset of 37 problems. Percentages are estimates based on probability of success on 1 trial.""",Cybench leaderboard,https://cybench.github.io/,recCu9LKRKI8DDSPv
grok-4-1,0.39,2025-11-17,xAI,United States of America,,,,,,,"Thinking version. Results from Grok 4.1 Model card, also reported on official Cybench leaderboard.",Grok 4.1 Model Card,https://data.x.ai/2025-11-17-grok-4-1-model-card.pdf,recd57Ck0JOqmhCSh
claude-opus-4-20250514,0.38,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,,,,,"Thinking level unknown. ""Results for Claude 4.5 Sonnet, Claude 4.1 Opus, Claude 4 Opus, and Claude 4 Sonnet are from the Claude 4.5 Sonnet System Card on a subset of 37 problems. Percentages are estimates based on probability of success on 1 trial.""",Cybench leaderboard,https://cybench.github.io/,recHS1d8FpTudBN0R
claude-sonnet-4-20250514,0.35,2025-05-22,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,,,,,"Thinking level unknown. ""Results for Claude 4.5 Sonnet, Claude 4.1 Opus, Claude 4 Opus, and Claude 4 Sonnet are from the Claude 4.5 Sonnet System Card on a subset of 37 problems. Percentages are estimates based on probability of success on 1 trial.""",Cybench leaderboard,https://cybench.github.io/,recrjRfouZg28oDuU
grok-4-fast,0.3,2025-09-19,xAI,United States of America,,,,,,,"Results from Grok 4 Fast Model card, also reported on official Cybench leaderboard.",Grok 4 Fast Model Card,https://data.x.ai/2025-09-19-grok-4-fast-model-card.pdf,recJ2fztLtK3WB0yS
