model,score,source,benchmark_version_protocol,benchmark_release_date,model_release_date,evaluation_date,result_public_date,source_publication_date,plotting_date_current,plotting_date_reason,retrospective,historical_frontier_eligible,eligibility_reason,temporal_interpretation,protocol_evidence
gpt-5-mini-2025-08-07_high,0.9784743202416919,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-08-07,2025-10-30,Unknown,Unknown,2025-10-30,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-5-2025-08-07_high,0.9813066465256798,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-08-07,2025-10-29,Unknown,Unknown,2025-10-29,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-haiku-4-5-20251001_32K,0.9636087945413192,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-10-15,2025-10-22,Unknown,Unknown,2025-10-22,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-sonnet-4-5-20250929_32K,0.9773413897280967,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-09-29,2025-10-21,Unknown,Unknown,2025-10-21,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
claude-haiku-4-5-20251001,0.8691465256797583,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-10-15,2025-10-16,Unknown,Unknown,2025-10-16,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
qwen3-max-2025-09-23,0.9712990936555891,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-09-24,2025-10-09,Unknown,Unknown,2025-10-09,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-5-2025-08-07_medium,0.9792296072507553,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-08-07,2025-08-20,Unknown,Unknown,2025-08-20,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-5-nano-2025-08-07_medium,0.952416918429003,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-08-07,2025-08-20,Unknown,Unknown,2025-08-20,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-5-nano-2025-08-07_high,0.9490181268882175,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-08-07,2025-08-20,Unknown,Unknown,2025-08-20,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
gpt-5-mini-2025-08-07_medium,0.9679003021148036,https://epoch.ai/benchmarks/math-level-5,MATH Level 5 / Epoch standardized task; row-level protocol not present in CSV,2021-03-05,2025-08-07,2025-08-20,Unknown,Unknown,2025-08-20,Current build_snapshot.parse_date prefers Started at,yes,no,No defensible result-public date or row-level comparable protocol; Epoch export is treated as retrospective standardized evaluation,Retrospective Epoch internal run; contemporaneous public result not established,Epoch benchmark methodology page; CSV score column is Best score (across scorers)
