Model version,Main score,Harness,Reasoning effort,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Aggregation,Source,Notes
claude-fable-5_unknown,0.5348,claude-code,xhigh,2026-06-09,Anthropic,United States of America,,,Claude Fable 5,Mean@5,https://cognition.com/frontiercode,
claude-opus-5_max,0.5338,claude-code,medium,2026-07-24,Anthropic,United States of America,,,Claude Opus 5,Mean@5,https://cognition.com/frontiercode,
claude-fable-5-1_medium,0.5091,claude-code,medium,2026-09-01,Anthropic,United States of America,,,Claude Fable 5.1,Mean@5,https://cognition.com/frontiercode,
grok-4.6_unknown,0.4801000000000001,grok-build,high,2026-08-12,xAI,United States of America,,,Grok 4.6,Mean@5,https://cognition.com/frontiercode,
gpt-5.6-sol_unknown,0.47490000000000004,codex,max,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol,Mean@5,https://cognition.com/frontiercode,
claude-opus-4-8_unknown,0.465,claude-code,max,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8,Mean@5,https://cognition.com/frontiercode,
kimi-k3_unknown,0.44170000000000004,mini-swe-agent,none,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3,Mean@5,https://cognition.com/frontiercode,
gemini-3.7-flash_unknown,0.43590000000000007,chisel,medium,2026-08-13,Google DeepMind,United States of America,,,Gemini 3.7 Flash,Mean@5,https://cognition.com/frontiercode,
gpt-5.5_unknown,0.42960000000000004,codex,xhigh,2026-04-23,OpenAI,United States of America,,,GPT-5.5,Mean@5,https://cognition.com/frontiercode,
claude-sonnet-5_unknown,0.42730000000000007,claude-code,xhigh,2026-06-30,Anthropic,United States of America,,,Claude Sonnet 5,Mean@5,https://cognition.com/frontiercode,
