Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
glm-5.2_max,0.787,0.787,2026-06-16,Z.ai (Zhipu AI),China,,,0.018656911901656907,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F4AfhcmYVNrw6gM5u8CQsyy.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/4AfhcmYVNrw6gM5u8CQsyy.eval,2026-06-25T13:13:06.902Z,4AfhcmYVNrw6gM5u8CQsyy
qwen3.7-max,0.7727272727272727,0.7727272727272727,2026-05-19,Alibaba,China,,,0.01906835447169652,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F83hhDhcT9UUrZ2NiUbWSUU.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/83hhDhcT9UUrZ2NiUbWSUU.eval,2026-06-18T17:48:14.587Z,83hhDhcT9UUrZ2NiUbWSUU
deepseek-v4-pro_max,0.7763975155279503,0.7763975155279503,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,0.01897828052158487,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FWUk3f44JhxtAJaSxi6gFZR.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/WUk3f44JhxtAJaSxi6gFZR.eval,2026-06-18T17:43:54.039Z,WUk3f44JhxtAJaSxi6gFZR
gemini-3.5-flash_high,0.7933884297520661,0.7933884297520661,2026-05-19,Google DeepMind,United States of America,,,0.018422420250424888,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FdwRzFGTghYEy4HNZajJXoc.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/dwRzFGTghYEy4HNZajJXoc.eval,2026-06-01T10:22:55.131Z,dwRzFGTghYEy4HNZajJXoc
qwen3.6-max-preview,0.7665289256198347,0.7665289256198347,2026-04-20,Alibaba,China,,,0.01924895909142592,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FFkDMVLdEnJDR5PyUCT6BNQ.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/FkDMVLdEnJDR5PyUCT6BNQ.eval,2026-05-28T10:24:53.000Z,FkDMVLdEnJDR5PyUCT6BNQ
glm-5.1,0.7417,0.7417,2026-04-07,Z.ai (Zhipu AI),China,,,0.0199,,,2026-05-15T10:07:59.494Z,glm-5.1-swe-bench-frankenstein
qwen3.6-plus,0.5785123966942148,0.5785123966942148,2026-03-31,Alibaba,China,,,0.02246855652298021,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F8HV4HP9EM5KuLSwzifuLye.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/8HV4HP9EM5KuLSwzifuLye.eval,2026-05-14T17:28:26.954Z,8HV4HP9EM5KuLSwzifuLye
kimi-k2.6,0.7665289256198347,0.7665289256198347,2026-04-20,Moonshot,China,,,0.01924895909142592,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FbUPtAK7spEwvmiC8pi6afc.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/bUPtAK7spEwvmiC8pi6afc.eval,2026-05-08T10:21:24.110Z,bUPtAK7spEwvmiC8pi6afc
gpt-5.5-pre-release_xhigh,0.8057851239669421,0.8057851239669421,2026-04-23,OpenAI,United States of America,,,0.018000198869416815,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FLbhPRqUkXrs5KJ7vyT4CR7.eval,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/LbhPRqUkXrs5KJ7vyT4CR7.eval,2026-04-24T13:52:36.000Z,LbhPRqUkXrs5KJ7vyT4CR7
claude-opus-4-7_max,0.8347107438016529,0.8347107438016529,2026-04-16,Anthropic,United States of America,,,0.016901169179529604,https://logs.epoch.ai/inspect-viewer/36231d6d/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FnCmGWWMBip2s9AVEZNYXDX.eval,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/nCmGWWMBip2s9AVEZNYXDX.eval,2026-04-20T13:16:09.316Z,nCmGWWMBip2s9AVEZNYXDX
