Model version,Accuracy,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Cost,id
gpt-5.6-sol_max,0.323,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (max),,recok7WFznQiAaI15
claude-fable-5-1_xhigh,0.311428571428571,2026-09-01,Anthropic,United States of America,,,"Claude Fable 5.1 (Adaptive Reasoning, Xhigh Effort, Default Fallback)",,recDxO947Y2IBUxq1
gpt-5.5-pro_xhigh,0.305714285714286,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Pro (xhigh),,recB9otf2Iy1aL15O
claude-fable-5-1_high,0.302857142857143,2026-09-01,Anthropic,United States of America,,,"Claude Fable 5.1 (Adaptive Reasoning, High Effort, Default Fallback)",,recdIJdHkHz5QHHB8
gpt-5.4-pro-2026-03-05_xhigh,0.3,2026-03-05,OpenAI,United States of America,,,GPT-5.4 Pro (xhigh),,recpj4aTRQU6UUqUg
gpt-5.6-terra_max,0.3,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (max),,rec5E8CdC6AxpPjGM
claude-fable-5-1_max,0.297142857142857,2026-09-01,Anthropic,United States of America,,,"Claude Fable 5.1 (Adaptive Reasoning, Max Effort, Default Fallback)",,reclr0DLMwnSAaUs2
claude-fable-5-1_medium,0.291428571428571,2026-09-01,Anthropic,United States of America,,,"Claude Fable 5.1 (Adaptive Reasoning, Medium Effort, Default Fallback)",,recZfmbm2weC0g1KH
claude-opus-5_max,0.291428571,2026-07-24,Anthropic,United States of America,,,,,rec5C4zdQpZvERrGC
gpt-5.6-sol_xhigh,0.286,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (xhigh),,recCCEqC3wisl7qU4
claude-fable-5_max,0.2857142857,2026-06-09,Anthropic,United States of America,,,"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",,recVfxdxUtc8D2L0n
claude-opus-5_high,0.282857142857143,2026-07-24,Anthropic,United States of America,,,"Claude Opus 5 (Adaptive Reasoning, High Effort)",,recQhcpUHUieJGpId
claude-opus-5_xhigh,0.277142857142857,2026-07-24,Anthropic,United States of America,,,"Claude Opus 5 (Adaptive Reasoning, Xhigh Effort)",,recqe0FCEPFJX8Adc
claude-fable-5-1_low,0.277142857142857,2026-09-01,Anthropic,United States of America,,,"Claude Fable 5.1 (Adaptive Reasoning, Low Effort, Default Fallback)",,rec2RJ8EQ2qMVtCE8
gpt-5.5_xhigh,0.271428571428571,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (xhigh),,rec7ob5La2ExbJeLM
gpt-5.6-terra_xhigh,0.271428571428571,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra (xhigh),,recVghFQgXkxpNwPc
claude-opus-5_medium,0.268571428571429,2026-07-24,Anthropic,United States of America,,,"Claude Opus 5 (Adaptive Reasoning, Medium Effort)",,recS9jY80Y6pwM6mV
gemini-3-deep-think-preview,0.257142857142857,2026-02-12,,,,,Gemini 3 Deep Think,,recq3pI3ZzF2fZiaI
gpt-5.6-sol_high,0.257142857142857,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol (high),,recrwnRfpJKrmslqN
gpt-5.5_high,0.254285714285714,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (high),,recLoNQxQteSxrTSI
gpt-5.4-2026-03-05_xhigh,0.23428571430000003,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (xhigh),,recRZ2byfLFxfUg3P
