Model version,Score,Provider,AA model slug,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Source,Notes
claude-fable-5_max,0.601851851851852,Anthropic,claude-fable-5,2026-06-09,Anthropic,United States of America,,,"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",https://artificialanalysis.ai/evaluations/scicode,
gemini-3.1-pro-preview,0.58912037037037,Google,gemini-3-1-pro-preview,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro Preview,https://artificialanalysis.ai/evaluations/scicode,
gpt-5.4-2026-03-05_xhigh,0.565972222222222,OpenAI,gpt-5-4,2026-03-05,OpenAI,United States of America,,,GPT-5.4 (xhigh),https://artificialanalysis.ai/evaluations/scicode,
gpt-5.5_xhigh,0.561342592592593,OpenAI,gpt-5-5,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (xhigh),https://artificialanalysis.ai/evaluations/scicode,
gpt-5.5_high,0.559027777777778,OpenAI,gpt-5-5-high,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (high),https://artificialanalysis.ai/evaluations/scicode,
claude-opus-4-7_max,0.545138888888889,Anthropic,claude-opus-4-7,2026-04-16,Anthropic,United States of America,,,"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",https://artificialanalysis.ai/evaluations/scicode,
gpt-5.5_medium,0.534722222222222,OpenAI,gpt-5-5-medium,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (medium),https://artificialanalysis.ai/evaluations/scicode,
claude-opus-4-8_max,0.534722222222222,Anthropic,claude-opus-4-8,2026-05-28,Anthropic,United States of America,,,"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)",https://artificialanalysis.ai/evaluations/scicode,
kimi-k2.6,0.534722222222222,Kimi,kimi-k2-6,2026-04-20,Moonshot,China,,,Kimi K2.6,https://artificialanalysis.ai/evaluations/scicode,
gemini-3.5-flash_high,0.53125,Google,gemini-3-5-flash,2026-05-19,Google DeepMind,United States of America,,,Gemini 3.5 Flash (high),https://artificialanalysis.ai/evaluations/scicode,
gpt-5.5_low,0.516203703703704,OpenAI,gpt-5-5-low,2026-04-23,OpenAI,United States of America,,,GPT-5.5 (low),https://artificialanalysis.ai/evaluations/scicode,
muse-spark,0.515046296296296,Meta,muse-spark,2026-04-08,Meta AI,United States of America,,,Muse Spark,https://artificialanalysis.ai/evaluations/scicode,
