Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Shots,Source,Source link,Notes,id
Llama-2-7b,0.788,2023-07-18,Meta AI,United States of America,8.4e+22,"Trained on 2 trillion tokens per Table 1. 

C = 6ND = 6 FLOP / token / parameter * 7B parameters * 2T tokens = 8.4e+22 FLOP.

Also, 7B model was trained on 184320 GPU-hours

312 trillion * 184320 GPU-hours * 3600 sec/hour * 0.3 [utilization] = 6.21e22 FLOP",,0,Gemma: Open Models Based on Gemini Research and Technology,http://arxiv.org/abs/2403.08295,,rec1xnVLr7TTueuek
Llama-2-13b,0.805,2023-07-18,Meta AI,United States of America,1.6e+23,13 billion parameters * 2 trillion tokens * 6 FLOP / token / parameter = 1.6e23 FLOP,,0,Gemma: Open Models Based on Gemini Research and Technology,http://arxiv.org/abs/2403.08295,,recIN14fg5Z6cb0Dy
Mistral-7B-Instruct-v0.2,0.822,2023-12-11,Mistral AI,France,,,Mistral 7B,0,Gemma: Open Models Based on Gemini Research and Technology,http://arxiv.org/abs/2403.08295,,recwGYCRlmPQfK60l
gemma-2b,0.773,2024-02-21,Google DeepMind,United States of America,4.5115822e+22,"6ND = 6*2506434560.00 parameters * 3*10^12 training tokens = 4.5115822e+22

(assuming 1 epoch)",,0,Gemma: Open Models Based on Gemini Research and Technology,http://arxiv.org/abs/2403.08295,,recJxRvElA0WHGRBp
gemma-7b,0.812,2024-02-21,Google DeepMind,United States of America,3.07e+23,"6ND aproximation 6*8.54B*6T = 3.07e23
""Gemma 2B and 7B are trained on 2T and 6T tokens respectively of primarily-English data from web documents, mathematics, and code.""

As confirmation: ""We estimate the carbon emissions from pretraining the Gemma models to be ∼ 131 𝑡𝐶𝑂2𝑒𝑞. ""

U.S. avg CO2 per kWh is ~0.87lbs 
131 tCO2 * 2000 lb/t * (1 kWh/0.87lb) = 3.01e5 kWh

Per SemiAnalysis TPU v5e uses ~ 5x less power than H100, so ~140 W TDP
3.01e5 kWh * 1000 W/kW * 1 TPUv5e/140 W  = 2.15e6 TPUv5e-hours

In bf16 precision, TPUv5e has peak performance of 197 TF/s, so:
2.15e6 * 3600 * 197e12 * 0.3 = 4.57e23",,0,Gemma: Open Models Based on Gemini Research and Technology,http://arxiv.org/abs/2403.08295,,recjJz03ZH5MPEkVX
mpt-7b,0.806,2023-05-05,MosaicML,United States of America,4.2000000000000004e+22,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k.""",,0,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,reczbCPMBK72FaE5G
falcon-7b,0.767,2023-04-24,Technology Innovation Institute,United Arab Emirates,6.3e+22,"6ND = 6 * 7B * 1.5T = 6.3e22
""Falcon-7B is a 7B parameters causal decoder-only model built by TII and trained on 1,500B tokens of RefinedWeb enhanced with curated corpora. It is made available under the Apache 2.0 license.""

Table 1 from https://arxiv.org/pdf/2311.16867 Falcon paper

730 petaflop-days * 1e15 * 24 * 3600 = 6.3072e+22 FLOPs",,0,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recOqznsYbiFQfhfo
chatglm2-6b,0.696,2023-06-24,,,,,ChatGLM2,0,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,recMuGIrZwsS5fFvR
internlm-7b,0.779,2023-07-05,,,,,,0,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,rec8tnNTcy4oGb1kc
internlm-20b,0.803,2023-09-18,,,,,,0,Qwen Technical Report,https://arxiv.org/abs/2309.16609,,reccHVW9au1hhKQdJ
