Model version,Pass@1 score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Pass@1 Standard Error,Mean score,Mean Standard Error,Notes,id
claude-fable-5-1_unknown,0.474,2026-09-01,Anthropic,United States of America,,,Fable 5.1 [claude-fable-5.1],4.1,0.62,3.5,,reciHu2R0cgIa9tz3
claude-fable-5,0.45,2026-06-09,Anthropic,United States of America,,,Fable 5,4.1,0.609,3.6,,reckaD0wz9XOvArFA
claude-fable-5-1_high,0.444,2026-09-01,Anthropic,United States of America,,,Fable 5.1 (High),4.0,0.6,3.5,,recNL6V1sB2zRy2vL
claude-opus-5_max,0.435,2026-07-24,Anthropic,United States of America,,,Opus 5,4.2,0.606,3.6,,rec1AxRjtBjTtTCHM
claude-opus-4-8_max,0.425,2026-05-28,Anthropic,United States of America,,,Opus 4.8,4.0,0.594,3.5,,reckFRpJRQsQ8Z4Sm
muse-spark-1.1,0.419,2026-07-09,Meta AI,United States of America,,,Muse Spark 1.1,3.9,0.5810000000000001,3.4,,recUWnkIVcrEl6qjU
grok-4.6_unknown,0.41200000000000003,2026-08-12,xAI,United States of America,,,Grok 4.6,4.1,0.5750000000000001,3.5,,recqbm6QR4O0FYZGg
gpt-5.6-sol_promax,0.4,2026-07-09,OpenAI,United States of America,,,GPT 5.6 Sol (Max + Pro),4.1,0.564,3.4,,recG6d1VEmPidhR3T
gpt-5.6-sol_max,0.399,2026-07-09,OpenAI,United States of America,,,GPT 5.6 Sol (Max),4.0,0.5670000000000001,3.3,,recx48TOigeiXUaRJ
kimi-k3_unknown,0.39299999999999996,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3,4.0,0.554,3.3,,rec69p8O5WoeewHzP
