Model version,Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,id
claude-opus-5_unknown,11181.87333333333,2026-07-24,Anthropic,United States of America,,,Claude Opus 5,rec7OZVF0EN5vImL0
claude-opus-4-7_unknown,10936.763333333334,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7,rec63xBZ1e3RaKLVW
gpt-5.6-sol_unknown,9619.367999999999,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol,rec7Hn7Mhf7zcb5Ks
grok-4.6_unknown,9047.032500000001,2026-08-12,xAI,United States of America,,,Grok 4.6,recykaG8clpLwMQNZ
glm-5.2_unknown,8313.778333333335,2026-06-16,Z.ai (Zhipu AI),China,,,GLM-5.2,recFnUWa6JKxlpxJK
glm-5.3_unknown,8163.609999999998,2026-08-14,Z.ai (Zhipu AI),China,,,GLM-5.3,recneOkHK8PAgzy1Y
claude-opus-4-6_unknown,8017.594,2026-02-05,Anthropic,United States of America,,,Claude Opus 4.6,recQ2Z14OWWnwOYgc
gpt-5.5_unknown,7523.843999999999,2026-04-23,OpenAI,United States of America,,,GPT-5.5,recg2odq5qkknQWX6
gpt-5.6-terra_unknown,7343.206,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra,recLAjZ4HYB97nV26
claude-sonnet-4-6_unknown,7204.139999999999,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6,rec1wYB2vM7FcJJFR
muse-spark-1.1,6520.474999999999,2026-07-09,Meta AI,United States of America,,,Muse Spark 1.1,recWZ6XgxFaZmibEx
claude-sonnet-5_unknown,6377.701666666665,2026-06-30,Anthropic,United States of America,,,Claude Sonnet 5,rec57E8P1Gu85Bppk
kimi-k2.6,6204.570000000001,2026-04-20,Moonshot,China,,,Kimi K2.6,recHNRpMfTLV74TOv
gpt-5.4-2026-03-05_unknown,6144.176,2026-03-05,OpenAI,United States of America,,,GPT-5.4,recJ1F0E7NEV8ifLR
gpt-5.3-codex,5940.124000000002,2026-02-05,OpenAI,United States of America,,,GPT-5.3-Codex,recEwBQDbfSWm1MVs
claude-opus-4-8_unknown,5787.428,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 - High,recCnok9JvFk9Yosw
claude-fable-5_high,5680.258,2026-06-09,Anthropic,United States of America,,,Claude Fable 5 - High,recpV3xliDr5Mm3RV
glm-5.1,5634.406,2026-04-07,Z.ai (Zhipu AI),China,,,GLM-5.1,reccQA2Me2YFH2uoo
gemini-3-pro-preview,5478.158000000001,2025-11-18,Google DeepMind,United States of America,,Almost certainly >1e25,Gemini 3 Pro,reck4G5LvBjIvc9sI
gemini-3.5-flash_unknown,5396.418333333334,2026-05-19,Google DeepMind,United States of America,,,Gemini 3.5 Flash,rec5vYUb0zF2R4mUz
kimi-k3_unknown,5165.035000000001,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3 (Moonshot),recYBYYTXhJssG2iO
qwen3.6-plus,5114.872000000001,2026-03-31,Alibaba,China,,,Qwen 3.6 Plus,recPQSBvNZDIIMmiC
kimi-k2.7-code,5082.936,2026-06-12,Moonshot,China,,,Kimi K2.7 Code,rec3kjMcwIY0FFwTU
claude-fable-5_low,5018.519999999999,2026-06-09,Anthropic,United States of America,,,Claude Fable 5 - Low,recafcEMcOdb67ldo
claude-opus-4-5-20251101_unknown,4967.056666666668,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,Claude Opus 4.5,recxXzuUEqT3XSx5J
claude-fable-5_max,4966.639999999998,2026-06-09,Anthropic,United States of America,,,Claude Fable 5 - Max,recueSmV7urc8MR6w
grok-4-20,4662.846666666667,2026-02-17,xAI,United States of America,,,Grok 4.20,recoe0ewL0dGWOxew
claude-fable-5,4529.944000000001,2026-06-09,Anthropic,United States of America,,,Claude Fable 5 - None,recDIKtviJ5CZFZss
glm-5,4432.122000000001,2026-02-11,Z.ai (Zhipu AI),China,6.84e+24,6 * 40B parameters * 28.5e12 tokens = 6.84e24 FLOP estimated,GLM-5,recN461q2BojFEYnc
claude-fable-5_medium,4339.812500000001,2026-06-09,Anthropic,United States of America,,,Claude Fable 5 - Medium,reclKMbMHOf4EuCRo
qwen3.6-max-preview,4254.1866666666665,2026-04-20,Alibaba,China,,,Qwen 3.6 Max,recbsgfANkzVvQKHR
gpt-5.6-luna_unknown,4094.7120000000004,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna,recpCYTd0B6Cw2RF9
grok-4.5_unknown,3887.4259999999986,2026-07-08,xAI,United States of America,,,Grok 4.5,recQQQU8uQqzi2UwP
claude-sonnet-4-5-20250929_unknown,3838.7400000000002,2025-09-29,Anthropic,United States of America,,,Claude Sonnet 4.5,rechxcfDDQebfQxJh
gemini-3.1-pro-preview-customtools,3774.254,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro Custom Tools,recqpFFE7xXXe4Fs4
gemini-3-flash-preview,3634.715999999999,2025-12-17,Google DeepMind,United States of America,,,Gemini 3 Flash,recmbjpHUnRtEAE3N
gpt-5.2-2025-12-11_unknown,3591.3259999999996,2025-12-11,OpenAI,United States of America,,,GPT-5.2,recmFLuBVs82r3Qti
deepseek-v4-pro_unknown,3284.519999999999,2026-04-24,DeepSeek,China,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,Deepseek V4 Pro,recDV2KJb9lEWnMRy
claude-opus-4-8_max,2992.344,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8 - Max,recfkcn8Cobr5tTyM
