Model version,Overall (no subtitles),Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Overall (with subtitles),Short videos (no subtitles),Short videos (with subtitles),Medium videos (no subtitles),Medium videos (with subtitles),Long videos (no subtitles),Long videos (with subtitles),Frames,Notes,Source,Source link,id
video-SALMONN-2plus,0.797,2025-06-18,ByteDance,China,,,video-SALMONN 2+,0.816,0.85,0.8540000000000001,0.8170000000000001,0.8300000000000001,0.723,0.7640000000000001,106.0,,Video-MME Leaderboard,,recMr6dqjQaA5cSL1
gemini-1.5-pro-001-feb24,0.75,2024-02-15,Google DeepMind,United States of America,,Training compute imputed to be 1.58e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,Gemini 1.5 Pro,0.813,0.817,0.845,0.743,0.81,0.674,0.774,,,Video-MME Leaderboard,https://video-mme.github.io/home_page.html#leaderboard,rec5BPMcD8LfZ4vl5
gemini-1.5-pro-001,0.75,2024-05-14,Google DeepMind,United States of America,,Training compute imputed to be 1.58e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,Gemini 1.5 Pro,0.813,0.8170000000000001,0.845,0.743,0.81,0.674,0.774,10.51,,https://video-mme.github.io/home_page.html#leaderboard,,reck8Bdyl7VsIEVIf
Qwen2.5-VL-72B-Instruct,0.735,2024-09-19,Alibaba,China,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",AdaReTaKe,0.796,0.806,0.828,0.749,0.797,0.65,0.764,1024.0,This result is for the Qwen2.5-VL-72B-Instruct model augmented by the AdaReTaKe system.,Video-MME Leaderboard,https://video-mme.github.io/home_page.html#leaderboard,recyqau4pcAgM8IdV
InternVL2_5-78B,0.721,2024-12-06,"Shanghai AI Lab,SenseTime,Tsinghua University,Nanjing University,Fudan University,Chinese University of Hong Kong (CUHK),Shanghai Jiao Tong University","Hong Kong,China",,,InternVL2.5,0.74,0.828,0.832,0.709,0.741,0.626,0.648,64.0,,Video-MME Leaderboard,https://video-mme.github.io/home_page.html#leaderboard,recttiVwZcyyA09a1
gpt-4o-2024-11-20,0.7190000000000001,2024-11-20,OpenAI,United States of America,,Training compute estimated to be 3.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,GPT-4o,0.772,0.8,0.828,0.703,0.766,0.653,0.721,3842.0,,Video-MME Leaderboard,,recOD4UAd0CyEyws2
gpt-4o-2024-08-06,0.719,2024-08-06,OpenAI,United States of America,,Training compute estimated to be 3.8e25 FLOP from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing,GPT-4o,0.772,0.8,0.828,0.703,0.766,0.653,0.721,,,Video-MME Leaderboard,https://video-mme.github.io/home_page.html#leaderboard,reciIWRDoigviHQq5
Qwen2-VL-72B-Instruct,0.712,2024-08-29,,,,,Qwen2-VL,0.778,0.801,0.822,0.713,0.768,0.622,0.743,,,Video-MME Leaderboard,https://video-mme.github.io/home_page.html#leaderboard,recNTV6TuKBZxUPMJ
LLaVA-Video-72B-Qwen2,0.706,2024-09-02,,,,,LLaVA-Video,0.769,0.814,0.828,0.689,0.756,0.615,0.725,64.0,,Video-MME Leaderboard,https://video-mme.github.io/home_page.html#leaderboard,rec33J119RJErottD
LinVT,0.703,2024-12-06,,,,,LinVT,0.717,0.79,0.801,0.716,0.687,0.632,0.633,120.0,,Video-MME Leaderboard,https://video-mme.github.io/home_page.html#leaderboard,recN2BfY04EUYvH4S
