Model version,Average score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Agent,Notes,Source,Source link,id
claude-opus-4-6_high,0.5529999999999999,2026-02-05,Anthropic,United States of America,,,,,https://evals.futuresearch.ai/#drb,,reccVU3SIqoNBQoc4
claude-sonnet-4-6_high,0.549,2026-02-17,Anthropic,United States of America,,,,,https://evals.futuresearch.ai/#drb,,rec8802UWGtedVgJY
claude-opus-4-5-20251101_high,0.5479999999999999,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,,,https://evals.futuresearch.ai/#drb,,recHz66Mx92wWOqhz
gpt-5.5_high,0.54,2026-04-23,OpenAI,United States of America,,,,,https://evals.futuresearch.ai/#drb,,recheEJW36S0Dmd4M
claude-opus-4-5-20251101_low,0.537,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,,,https://evals.futuresearch.ai/#drb,,recfm3eBfDzsH1AjW
claude-opus-4-6_medium,0.532,2026-02-05,Anthropic,United States of America,,,,,https://evals.futuresearch.ai/#drb,,recV41P9TO0UOXBrz
claude-sonnet-4-5-20250929_2K,0.526,2025-09-29,Anthropic,United States of America,,,,,DeepResearchBench Leaderboard,https://drb.futuresearch.ai,recWmaxS0ycQLxFMa
claude-opus-4-6_low,0.514,2026-02-05,Anthropic,United States of America,,,,,https://evals.futuresearch.ai/#drb,,recHblA277kTWDIAv
claude-sonnet-4-6_low,0.504,2026-02-17,Anthropic,United States of America,,,,,https://evals.futuresearch.ai/#drb,,recqP7OyQXrgSWLtr
claude-opus-4-8_high,0.502,2026-05-28,Anthropic,United States of America,,,,,https://evals.futuresearch.ai/#drb,,recH15wI9KuYl4sCc
gemini-3-flash-preview_low,0.498,2025-12-17,Google DeepMind,United States of America,,,,,https://evals.futuresearch.ai/#drb,,rec3iKvPvr8Wl8Ani
gpt-5-2025-08-07_low,0.49600000000000005,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",,,https://evals.futuresearch.ai/#drb,https://drb.futuresearch.ai,recIbyRHhHFxDYfXq
gpt-5.5_medium,0.49600000000000005,2026-04-23,OpenAI,United States of America,,,,,https://evals.futuresearch.ai/#drb,,rec6hR81BMyiPDlmS
claude-opus-4-8_low,0.493,2026-05-28,Anthropic,United States of America,,,,,https://evals.futuresearch.ai/#drb,,recuiSzLJrl2Y4Id1
gemini-3-flash-preview_minimal,0.49,2025-12-17,Google DeepMind,United States of America,,,,,https://evals.futuresearch.ai/#drb,,recA41zMYRSwfZqfb
gpt-5-2025-08-07_minimal,0.489,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",,,https://evals.futuresearch.ai/#drb,https://drb.futuresearch.ai,recHggeQMAdJvIEz9
gpt-5.5_low,0.48700000000000004,2026-04-23,OpenAI,United States of America,,,,,https://evals.futuresearch.ai/#drb,,reccXAd2b5mJk5VO0
